asof0,asof1,cp,K,T,price0_pde,delta0_pde,price0_bsm,delta0_bsm,S0,S1,T1,price1_pde,price1_bsm,pnl_pde,pnl_bsm,m,T_bucket,m_bucket,pair
2025-09-23,2025-09-24,P,6695.0,0.01643835616438356,106.15595546929352,-0.048667156053544436,49.951793180448476,-0.655129827353599,6656.92,6637.97,0.0136986301369863,264.6863870910477,61.783851999825856,8.22775739278534,-3.2647102283505838,1.0047804346027192,1.0-2.0%,1.00-1.02,2025-09-23→2025-09-24
2025-09-23,2025-09-24,C,6700.0,0.01643835616438356,71.24378870201943,0.911454081561537,16.1991204689225,0.32128276805452083,6656.92,6637.97,0.0136986301369863,186.7084938446132,8.623657174494156,7.772054845590958,-3.411691545366889,1.0055308307450663,1.0-2.0%,1.00-1.02,2025-09-23→2025-09-24
2025-09-23,2025-09-24,P,6700.0,0.01643835616438356,108.06208650543199,-0.08854591843903711,53.401854446296056,-0.6775395633197587,6656.92,6637.97,0.0136986301369863,242.55702019841084,65.73956620731587,7.8720548455802675,-3.289374724909301,1.0055308307450663,1.0-2.0%,1.00-1.02,2025-09-23→2025-09-24
2025-09-23,2025-09-24,C,6705.0,0.01643835616438356,67.74606311325618,0.8661532028669284,14.399187301854454,0.29690617514764206,6656.92,6637.97,0.0136986301369863,143.12309866110937,7.421066448254805,7.663603194328136,-3.1236279809522367,1.0062812268874133,1.0-2.0%,1.00-1.02,2025-09-23→2025-09-24
2025-09-23,2025-09-24,P,6705.0,0.01643835616438356,109.55968800458656,-0.13384679713357786,56.5019222353194,-0.7022783198781449,6656.92,6637.97,0.0136986301369863,203.96701197487943,69.45696259083797,7.8636031943187295,-2.908174161690713,1.0062812268874133,1.0-2.0%,1.00-1.02,2025-09-23→2025-09-24
2025-09-23,2025-09-24,C,6710.0,0.01643835616438356,73.592339750607,0.9387611000442704,12.799251315650736,0.27352075943744125,6656.92,6637.97,0.0136986301369863,210.9455991160968,6.387991592953313,9.739522845838753,-2.8667816086605384,1.0070316230297605,1.0-2.0%,1.00-1.02,2025-09-23→2025-09-24
2025-09-23,2025-09-24,P,6710.0,0.01643835616438356,120.40129172984572,-0.06123889995627922,59.8019877674642,-0.7262188335924614,6656.92,6637.97,0.0136986301369863,276.78489938982005,73.34844665371202,10.039522845828524,-2.561846896577009,1.0070316230297605,1.0-2.0%,1.00-1.02,2025-09-23→2025-09-24
2025-09-23,2025-09-24,C,6585.0,0.019178082191780823,106.93294504664924,0.9202256701041461,94.65118338693992,0.7565755269347949,6656.92,6637.97,0.01643835616438356,209.50271234128337,77.30214663083825,-2.361723551526609,-5.462893764585786,0.9883007455793797,1.0-2.0%,0.98-1.00,2025-09-23→2025-09-24
2025-09-23,2025-09-24,P,6585.0,0.019178082191780823,29.051944308919595,-0.0797743298962399,16.799616907972222,-0.2449195273213906,6656.92,6637.97,0.01643835616438356,150.62476215616994,19.27759110206216,-2.411723551533732,-5.541225042740308,0.9883007455793797,1.0-2.0%,0.98-1.00,2025-09-23→2025-09-24
2025-09-23,2025-09-24,C,6590.0,0.019178082191780823,107.658841182434,0.972136600921195,90.65116395039604,0.744075935518047,6656.92,6637.97,0.01643835616438356,271.64440753610364,73.52623389658493,-1.3280114125435318,-5.649761021933145,0.9890511637612928,1.0-2.0%,0.98-1.00,2025-09-23→2025-09-24
