cp,K,T,mid,price_pde,delta_pde,price_err,rq,F_T
P,6675.0,0.0164383561643835,32.55,37.184899963812036,-0.5123384067135942,4.634899963812039,-0.10022140677148536,6677.45
C,6680.0,0.0164383561643835,32.05,36.82985824935408,0.4071885291737993,4.779858249354085,-0.10022140677148536,6677.45
P,6680.0,0.0164383561643835,34.65,39.38406277354309,-0.5928114708261961,4.734062773543094,-0.10022140677148536,6677.45
C,6685.0,0.0164383561643835,29.25,34.106630224559396,0.39617835331516527,4.856630224559396,-0.10022140677148536,6677.45
P,6685.0,0.0164383561643835,36.85,41.66907891381176,-0.6038216466848182,4.819078913811758,-0.10022140677148536,6677.45
C,6690.0,0.0164383561643835,26.55,31.3136158819315,0.3866288442967007,4.7636158819315,-0.10022140677148536,6677.45
P,6690.0,0.0164383561643835,39.05,43.88430873624686,-0.6133711557033179,4.834308736246861,-0.10022140677148536,6677.45
C,6695.0,0.0164383561643835,24.05,28.45346765347232,0.37845499052202863,4.403467653472319,-0.10022140677148536,6677.45
P,6695.0,0.0164383561643835,42.0,46.032404672850895,-0.6215450094779746,4.032404672850895,-0.10022140677148536,6677.45
C,6700.0,0.0164383561643835,21.65,25.730964776691447,0.3035404726546263,4.080964776691449,-0.10022140677148536,6677.45
P,6700.0,0.0164383561643835,45.0,48.31814596113257,-0.696459527345376,3.318145961132572,-0.10022140677148536,6677.45
C,6705.0,0.0164383561643835,19.5,23.27325155716908,0.2910660236047294,3.773251557169079,-0.10022140677148536,6677.45
P,6705.0,0.0164383561643835,48.0,50.86867690667295,-0.708933976395251,2.8686769066729525,-0.10022140677148536,6677.45
C,6710.0,0.0164383561643835,17.35,20.907395971640383,0.27840311732994627,3.557395971640382,-0.10022140677148536,6677.45
P,6710.0,0.0164383561643835,51.0,53.51106548620775,-0.7215968826700527,2.511065486207748,-0.10022140677148536,6677.45
C,6715.0,0.0164383561643835,15.45,18.47440470733759,0.26743913566435235,3.0244047073375917,-0.10022140677148536,6677.45
P,6715.0,0.0164383561643835,54.0,56.086318386968365,-0.7325608643356611,2.0863183869683652,-0.10022140677148536,6677.45
C,6720.0,0.0164383561643835,13.65,16.098290690572252,0.2566574223259694,2.448290690572252,-0.10022140677148536,6677.45
P,6720.0,0.0164383561643835,57.0,58.71844853526623,-0.7433425776740383,1.7184485352662335,-0.10022140677148536,6677.45
C,6725.0,0.0164383561643835,12.05,13.94096361411613,0.18892198433045398,1.8909636141161297,-0.10022140677148536,6677.45
P,6725.0,0.0164383561643835,60.3,61.56936562387125,-0.811078015669524,1.269365623871252,-0.10022140677148536,6677.45
C,6730.0,0.0164383561643835,10.5,11.984990158611435,0.17501018820965678,1.484990158611435,-0.10022140677148536,6677.45
P,6730.0,0.0164383561643835,63.0,64.62163633343202,-0.8249898117903631,1.621636333432022,-0.10022140677148536,6677.45
C,6735.0,0.0164383561643835,9.2,10.14014966964992,0.1610490397597616,0.9401496696499212,-0.10022140677148536,6677.45
P,6735.0,0.0164383561643835,66.0,67.78504000953278,-0.8389509602402377,1.7850400095327785,-0.10022140677148536,6677.45
C,6740.0,0.0164383561643835,8.0,8.331440188687251,0.14812120764503986,0.33144018868725134,-0.10022140677148536,6677.45
P,6740.0,0.0164383561643835,72.0,70.98457469363242,-0.8518787923549477,-1.0154253063675753,-0.10022140677148536,6677.45
C,6745.0,0.0164383561643835,6.949999999999999,6.662800784782376,0.13480411537665127,-0.2871992152176235,-0.10022140677148536,6677.45
P,6745.0,0.0164383561643835,75.0,74.32417945479118,-0.8651958846233478,-0.675820545208822,-0.10022140677148536,6677.45
C,6750.0,0.0164383561643835,5.95,5.255045388029828,0.08477944792058126,-0.6949546119701724,-0.10022140677148536,6677.45
P,6750.0,0.0164383561643835,78.0,77.92466822310078,-0.9152205520794283,-0.075331776899219,-0.10022140677148536,6677.45
C,6755.0,0.0164383561643835,5.05,4.03130336353345,0.07149171076961269,-1.01869663646655,-0.10022140677148536,6677.45
P,6755.0,0.0164383561643835,84.0,81.70917036366784,-0.9285082892303899,-2.2908296363321625,-0.10022140677148536,6677.45
C,6760.0,0.0164383561643835,4.35,2.9669314289796715,0.05874964923021335,-1.383068571020328,-0.10022140677148536,6677.45
P,6760.0,0.0164383561643835,87.0,85.65304259417628,-0.9412503507697803,-1.3469574058237157,-0.10022140677148536,6677.45
C,6615.0,0.0191780821917808,84.0,84.57737304608375,0.668809991438333,0.5773730460837498,-0.07887661846599472,6678.35
P,6615.0,0.0191780821917808,19.65,21.131470839706633,-0.3311900085616562,1.4814708397066347,-0.07887661846599472,6678.35
C,6620.0,0.0191780821917808,78.0,80.98808195156022,0.6623689974832945,2.9880819515602184,-0.07887661846599472,6678.35
P,6620.0,0.0191780821917808,20.7,22.549748980097615,-0.33763100251669226,1.8497489800976155,-0.07887661846599472,6678.35
C,6625.0,0.0191780821917808,75.0,77.3271901428179,0.6573283061012667,2.327190142817898,-0.07887661846599472,6678.35
P,6625.0,0.0191780821917808,21.8,23.896426406271132,-0.3426716938987228,2.0964264062711315,-0.07887661846599472,6678.35
C,6630.0,0.0191780821917808,69.95,73.76097269763991,0.5962829363607547,3.8109726976399116,-0.07887661846599472,6678.35
P,6630.0,0.0191780821917808,22.9,25.33777819600964,-0.40371706363924775,2.437778196009642,-0.07887661846599472,6678.35
C,6635.0,0.0191780821917808,66.0,70.43421554145698,0.5876330893296614,4.434215541456979,-0.07887661846599472,6678.35
