cp,K,T,m,mid,mid1,price0_pde,price1_pde,delta0_pde,price0_bsm,price1_bsm,delta0_bsm,pnl_pde,pnl_bsm,T_bucket,m_bucket
P,6760.0,0.021917808219178082,1.0121042554460713,90.0,62.15,94.01612981329951,126.67498440592065,-0.8772715345423727,457.10480971720744,418.4898321040305,-0.4993028434328844,-7.900845304506639,-16.495853340336318,2.0-3.0%,1.00-1.02
C,6625.0,0.024657534246575342,0.991804936596554,84.0,118.35,88.03640316302162,129.20270843699186,0.5756856640914271,368.32733774207145,362.12329172115096,0.5503208924877541,21.25890799856107,21.835702904828587,2.0-3.0%,0.98-1.00
P,6625.0,0.024657534246575342,0.991804936596554,29.0,27.8,33.224049391612525,41.99781167988465,-0.42431433590853807,313.58644367182706,283.7005220781248,-0.44837550402133597,8.448907998560063,8.996058961445083,2.0-3.0%,0.98-1.00
C,6630.0,0.024657534246575342,0.992553468624174,81.0,115.1,84.75925393902708,124.18179808146995,0.5579085062685201,349.9062001637503,344.5486866918459,0.5479402934228876,21.41316056745397,21.63983772756365,2.0-3.0%,0.98-1.00
P,6630.0,0.024657534246575342,0.992553468624174,30.2,28.75,34.9534266930735,41.97614291171636,-0.44209149373147505,300.165300643715,271.12591191416004,-0.4507561030862689,8.603160567453648,8.800193784181657,2.0-3.0%,0.98-1.00
C,6635.0,0.024657534246575342,0.9933020006517941,75.0,109.15,81.6410622762419,124.34178734713542,0.5389617086778165,330.6596296529574,326.19473996028955,0.5454362487259182,21.894010744666577,21.746779703972745,2.0-3.0%,0.98-1.00
P,6635.0,0.024657534246575342,0.9933020006517941,31.5,29.75,36.84176155574367,47.13537376473677,-0.46103829132215896,285.9187346863787,257.7719694723155,-0.45326014778316825,8.734010744665794,8.557135760589148,2.0-3.0%,0.98-1.00
C,6640.0,0.024657534246575342,0.9940505326794141,72.0,92.6,78.45895472472316,121.82091047356982,0.5284730747112663,310.44495132022803,306.9268062851388,0.5427874158546787,8.582522281065915,8.257014163464719,2.0-3.0%,0.98-1.00
P,6640.0,0.024657534246575342,0.9940505326794141,32.900000000000006,20.1,38.66618052968045,49.61373847851959,-0.47152692528866774,270.7040507302959,243.50403049951137,-0.45590898065449365,-2.0774777189358034,-2.432629779916919,2.0-3.0%,0.98-1.00
C,6645.0,0.024657534246575342,0.9947990647070342,69.0,89.2,75.32457105331581,117.02915455114753,0.5109058659587802,289.0728623632822,286.5662856703284,0.539965478067267,8.582000608097452,7.921185028750468,2.0-3.0%,0.98-1.00
P,6645.0,0.024657534246575342,0.9947990647070342,34.3,21.05,40.53832338372911,49.821224143452696,-0.4890941340411963,254.3319564136268,228.14350483615135,-0.4587309184420111,-2.1279993919033,-2.8184589146287653,2.0-3.0%,0.98-1.00
C,6650.0,0.024657534246575342,0.9955475967346542,65.6,84.4,72.36227388755266,111.87014412371259,0.4923023765091183,266.28286669237286,264.86749819901934,0.5369314630886763,7.605043958182769,6.590178529363628,2.0-3.0%,0.98-1.00
P,6650.0,0.024657534246575342,0.9955475967346542,35.8,22.05,42.58255274342161,49.66145530337412,-0.5076976234908991,236.54196678614198,211.44472305740192,-0.46176493342048275,-2.204956041817063,-3.249465414018319,2.0-3.0%,0.98-1.00
C,6655.0,0.024657534246575342,0.9962961287622742,55.2,81.3,69.41644522134413,115.0138923662414,0.47824067494022426,241.69892244883658,241.47596274793523,0.533629107999587,15.224807051859399,13.965274084089502,2.0-3.0%,0.98-1.00
