cp,K,T,F,df,mid,iv_parity
C,6695.0,0.021917808219178,6679.15,1.0,33.3,0.10314058386150284
P,6695.0,0.021917808219178,6679.15,1.0,48.0,0.10019241893909689
C,6700.0,0.021917808219178,6679.15,1.0,30.75,0.1020512438399713
P,6700.0,0.021917808219178,6679.15,1.0,51.55,0.10192196458366037
C,6705.0,0.021917808219178,6679.15,1.0,28.3,0.10094949023564406
P,6705.0,0.021917808219178,6679.15,1.0,54.0,0.10055702843124988
C,6710.0,0.021917808219178,6679.15,1.0,25.95,0.099829402741734
P,6710.0,0.021917808219178,6679.15,1.0,57.0,0.10036030016795285
C,6715.0,0.021917808219178,6679.15,1.0,23.75,0.09882026427802096
P,6715.0,0.021917808219178,6679.15,1.0,60.0,0.09990079481252023
C,6720.0,0.021917808219178,6679.15,1.0,21.700000000000003,0.09792488846728463
P,6720.0,0.021917808219178,6679.15,1.0,63.0,0.09916597216485212
C,6725.0,0.021917808219178,6679.15,1.0,19.7,0.09686627600159696
P,6725.0,0.021917808219178,6679.15,1.0,66.0,0.0981382689244784
C,6730.0,0.021917808219178,6679.15,1.0,17.85,0.09592100002178544
P,6730.0,0.021917808219178,6679.15,1.0,69.0,0.09679364443273797
C,6735.0,0.021917808219178,6679.15,1.0,15.15,0.09207498509934103
P,6735.0,0.021917808219178,6679.15,1.0,72.0,0.09509928890230511
C,6740.0,0.021917808219178,6679.15,1.0,14.55,0.09426021677277703
P,6740.0,0.021917808219178,6679.15,1.0,75.0,0.09300990612228045
C,6745.0,0.021917808219178,6679.15,1.0,13.05,0.09340543672295697
P,6745.0,0.021917808219178,6679.15,1.0,78.0,0.0904613955623585
C,6750.0,0.021917808219178,6679.15,1.0,11.6,0.09236821353008043
P,6750.0,0.021917808219178,6679.15,1.0,84.0,0.09754936859616593
C,6755.0,0.021917808219178,6679.15,1.0,10.35,0.09166241596824523
P,6755.0,0.021917808219178,6679.15,1.0,87.0,0.09448392571393059
C,6760.0,0.021917808219178,6679.15,1.0,9.15,0.09078601068345166
P,6760.0,0.021917808219178,6679.15,1.0,90.0,0.09078601068344906
C,6615.0,0.0246575342465753,6679.75,1.0,91.5,0.12714692299664374
P,6615.0,0.0246575342465753,6679.75,1.0,26.700000000000003,0.12701165237807355
C,6620.0,0.0246575342465753,6679.75,1.0,87.0,0.12417594395398378
P,6620.0,0.0246575342465753,6679.75,1.0,27.95,0.1260416841325785
C,6625.0,0.0246575342465753,6679.75,1.0,84.0,0.12505429408555893
P,6625.0,0.0246575342465753,6679.75,1.0,29.0,0.12439898241927533
C,6630.0,0.0246575342465753,6679.75,1.0,81.0,0.1257214517055743
P,6630.0,0.0246575342465753,6679.75,1.0,30.2,0.12301118190192828
C,6635.0,0.0246575342465753,6679.75,1.0,75.0,0.1185396702947154
P,6635.0,0.0246575342465753,6679.75,1.0,31.5,0.1217335501342789
C,6640.0,0.0246575342465753,6679.75,1.0,72.0,0.11891670387327254
P,6640.0,0.0246575342465753,6679.75,1.0,32.900000000000006,0.12055528200993074
C,6645.0,0.0246575342465753,6679.75,1.0,69.0,0.11909281557389312
P,6645.0,0.0246575342465753,6679.75,1.0,34.3,0.11921736768865188
C,6650.0,0.0246575342465753,6679.75,1.0,65.6,0.11808815376796664
P,6650.0,0.0246575342465753,6679.75,1.0,35.8,0.11796486913055888
C,6655.0,0.0246575342465753,6679.75,1.0,55.2,0.09974432594877854
P,6655.0,0.0246575342465753,6679.75,1.0,37.35,0.11666637782356208
C,6660.0,0.0246575342465753,6679.75,1.0,57.7,0.11288989571342266
P,6660.0,0.0246575342465753,6679.75,1.0,39.05,0.1155587631722678
C,6665.0,0.0246575342465753,6679.75,1.0,54.0,0.1106529746807068
P,6665.0,0.0246575342465753,6679.75,1.0,40.75,0.11426995939221152
C,6670.0,0.0246575342465753,6679.75,1.0,51.35,0.11075637118516453
P,6670.0,0.0246575342465753,6679.75,1.0,42.55,0.113036258172539
C,6675.0,0.0246575342465753,6679.75,1.0,48.65,0.11053420551226138
P,6675.0,0.0246575342465753,6679.75,1.0,44.400000000000006,0.11173055135927464
C,6680.0,0.0246575342465753,6679.75,1.0,46.15,0.11058122004415144
P,6680.0,0.0246575342465753,6679.75,1.0,46.4,0.11058122004415144
C,6685.0,0.0246575342465753,6679.75,1.0,43.15,0.10923522925845286
