K,T,C,P,F,moneyness
6735.0,0.019178082191780823,12.4,69.0,6678.4,1.00847508385242
6740.0,0.019178082191780823,11.0,72.0,6679.0,1.0091331037580475
6745.0,0.019178082191780823,9.65,75.0,6679.65,1.0097834467374789
6750.0,0.019178082191780823,7.699999999999999,78.75,6678.95,1.0106378996698584
6755.0,0.019178082191780823,7.4,84.0,6678.4,1.0114698131288933
6760.0,0.019178082191780823,6.449999999999999,86.25,6680.2,1.0119457501272417
6615.0,0.021917808219178082,87.0,23.25,6678.75,0.9904548006737788
6620.0,0.021917808219178082,84.0,24.25,6679.75,0.9910550544556308
6625.0,0.021917808219178082,78.0,25.45,6677.55,0.9921303472081826
6630.0,0.021917808219178082,75.0,26.6,6678.4,0.9927527551509344
6635.0,0.021917808219178082,72.0,27.85,6679.15,0.9933898774544666
6640.0,0.021917808219178082,69.0,29.2,6679.8,0.9940417377765801
6645.0,0.021917808219178082,63.0,30.45,6677.55,0.9951254576903206
6650.0,0.021917808219178082,60.0,31.950000000000003,6678.05,0.9957996720599576
6655.0,0.021917808219178082,57.55,33.45,6679.1,0.9963917294246231
6660.0,0.021917808219178082,54.15,35.099999999999994,6679.05,0.9971477979652794
6665.0,0.021917808219178082,43.6,36.9,6671.7,0.9989957582025571
6670.0,0.021917808219178082,40.5,38.7,6671.8,0.9997302077400402
6675.0,0.021917808219178082,44.65,40.65,6679.0,0.9994011079502919
6680.0,0.021917808219178082,41.65,42.5,6679.15,1.0001272617024621
6685.0,0.021917808219178082,38.75,45.0,6678.75,1.0009358038555118
6690.0,0.021917808219178082,36.0,46.8,6679.2,1.0016169601149838
6695.0,0.021917808219178082,33.3,48.0,6680.3,1.0022004999775458
6700.0,0.021917808219178082,30.75,51.55,6679.2,1.0031141454066355
6705.0,0.021917808219178082,28.3,54.0,6679.3,1.0038477085922177
6710.0,0.021917808219178082,25.95,57.0,6678.95,1.0046489343384815
6715.0,0.021917808219178082,23.75,60.0,6678.75,1.005427662361969
6720.0,0.021917808219178082,21.700000000000003,63.0,6678.7,1.0061838381720993
6725.0,0.021917808219178082,19.7,66.0,6678.7,1.0069324868612155
6730.0,0.021917808219178082,17.85,69.0,6678.85,1.0076585040837869
6735.0,0.021917808219178082,15.15,72.0,6678.15,1.0085128366388896
6740.0,0.021917808219178082,14.55,75.0,6679.55,1.0090500108540246
6745.0,0.021917808219178082,13.05,78.0,6680.05,1.0097229811154107
6750.0,0.021917808219178082,11.6,84.0,6677.6,1.0108422187612316
6755.0,0.021917808219178082,10.35,87.0,6678.35,1.0114773858812431
6760.0,0.021917808219178082,9.15,90.0,6679.15,1.012104833698899
6615.0,0.024657534246575342,91.5,26.700000000000003,6679.8,0.9902991107518189
6620.0,0.024657534246575342,87.0,27.95,6679.05,0.9911589223018243
6625.0,0.024657534246575342,84.0,29.0,6680.0,0.9917664670658682
6630.0,0.024657534246575342,81.0,30.2,6680.8,0.9923961202251227
6635.0,0.024657534246575342,75.0,31.5,6678.5,0.9934865613535974
6640.0,0.024657534246575342,72.0,32.900000000000006,6679.1,0.9941459178631851
6645.0,0.024657534246575342,69.0,34.3,6679.7,0.994805155920176
6650.0,0.024657534246575342,65.6,35.8,6679.8,0.9955387885864846
6655.0,0.024657534246575342,55.2,37.35,6672.85,0.9973249810800482
6660.0,0.024657534246575342,57.7,39.05,6678.65,0.9972075194837281
6665.0,0.024657534246575342,54.0,40.75,6678.25,0.9980159472915808
6670.0,0.024657534246575342,51.35,42.55,6678.8,0.9986823980355752
6675.0,0.024657534246575342,48.65,44.400000000000006,6679.25,0.9993637010143355
6680.0,0.024657534246575342,46.15,46.4,6679.75,1.0000374265503948
6685.0,0.024657534246575342,43.15,47.9,6680.25,1.0007110512331125
6690.0,0.024657534246575342,40.400000000000006,50.6,6679.8,1.0015269918261025
6695.0,0.024657534246575342,37.6,53.35,6679.25,1.0023580491821686
6700.0,0.024657534246575342,35.05,54.0,6681.05,1.0028363805090517
6705.0,0.024657534246575342,32.5,56.35,6681.15,1.003569744729575
6710.0,0.024657534246575342,30.1,60.0,6680.1,1.0044759808984896
6715.0,0.024657534246575342,27.85,63.0,6679.85,1.0052620942087023
6720.0,0.024657534246575342,25.65,66.0,6679.65,1.006040735667288
6725.0,0.024657534246575342,23.55,67.19999999999999,6681.35,1.0065331108234115
6730.0,0.024657534246575342,21.6,72.0,6679.6,1.0075453619977244
6735.0,0.024657534246575342,19.75,75.0,6679.75,1.0082712676372618
6740.0,0.024657534246575342,18.05,78.0,6680.05,1.0089744837239243
6745.0,0.024657534246575342,16.4,81.0,6680.4,1.00967007963595
6750.0,0.024657534246575342,14.9,84.0,6680.9,1.010342917870347
6755.0,0.024657534246575342,12.55,90.0,6677.55,1.011598565342079
6760.0,0.024657534246575342,11.9,93.0,6678.9,1.012142718112264
6615.0,0.0273972602739726,96.4,30.1,6681.3,0.990076781464685
6620.0,0.0273972602739726,93.2,31.25,6681.95,0.990728754330697
6625.0,0.0273972602739726,89.19999999999999,32.7,6681.5,0.9915438150115992
6630.0,0.0273972602739726,85.4,33.65,6681.75,0.9922550230104389
6635.0,0.0273972602739726,81.55,34.95,6681.6,0.993025622605364
6640.0,0.0273972602739726,78.30000000000001,36.35,6681.95,0.9937218925613033
6645.0,0.0273972602739726,74.45,38.8,6680.65,0.9946636929041336
6650.0,0.0273972602739726,71.44999999999999,39.25,6682.2,0.9951812277393673
6655.0,0.0273972602739726,68.0,40.8,6682.2,0.9959294843015774
6660.0,0.0273972602739726,64.65,42.45,6682.2,0.9966777408637874
