cp,K,T,mid,price_fit,F,df,err,abs_err,price_bsm,bsm_err,bsm_abs_err
C,6720.0,0.019178082191780823,17.5,32.86721748857644,6678.35,1.0,15.367217488576443,15.367217488576443,0.0,-17.5,17.5
P,6720.0,0.019178082191780823,60.0,32.86721748857644,6678.35,1.0,-27.132782511423557,27.132782511423557,319.1520188022437,259.1520188022437,259.1520188022437
C,6725.0,0.019178082191780823,15.7,31.942075759242428,6678.35,1.0,16.24207575924243,16.24207575924243,0.0,-15.7,15.7
P,6725.0,0.019178082191780823,63.0,31.942075759242428,6678.35,1.0,-31.057924240757572,31.057924240757572,339.14934172789435,276.14934172789435,276.14934172789435
C,6730.0,0.019178082191780823,14.0,31.016934029908413,6678.35,1.0,17.016934029908413,17.016934029908413,0.0,-14.0,14.0
P,6730.0,0.019178082191780823,66.0,31.016934029908413,6678.35,1.0,-34.98306597009159,34.98306597009159,358.24683284053526,292.24683284053526,292.24683284053526
C,6735.0,0.019178082191780823,12.4,30.091792300574394,6678.35,1.0,17.69179230057439,17.69179230057439,0.0,-12.4,12.4
P,6735.0,0.019178082191780823,69.0,30.091792300574394,6678.35,1.0,-38.9082076994256,38.9082076994256,376.57317706274944,307.57317706274944,307.57317706274944
C,6740.0,0.019178082191780823,11.0,29.166650571240375,6678.35,1.0,18.166650571240375,18.166650571240375,0.0,-11.0,11.0
P,6740.0,0.019178082191780823,72.0,29.166650571240375,6678.35,1.0,-42.833349428759625,42.833349428759625,394.2291270112423,322.2291270112423,322.2291270112423
C,6745.0,0.019178082191780823,9.65,28.241508841906363,6678.35,1.0,18.59150884190636,18.59150884190636,0.0,-9.65,9.65
P,6745.0,0.019178082191780823,75.0,28.241508841906363,6678.35,1.0,-46.75849115809363,46.75849115809363,411.2953446724878,336.2953446724878,336.2953446724878
C,6750.0,0.019178082191780823,7.699999999999999,27.316367112572344,6678.35,1.0,19.616367112572345,19.616367112572345,0.0,-7.699999999999999,7.699999999999999
P,6750.0,0.019178082191780823,78.75,27.316367112572344,6678.35,1.0,-51.433632887427656,51.433632887427656,427.83757227864817,349.08757227864817,349.08757227864817
C,6755.0,0.019178082191780823,7.4,26.39122538323833,6678.35,1.0,18.99122538323833,18.99122538323833,0.0,-7.4,7.4
P,6755.0,0.019178082191780823,84.0,26.39122538323833,6678.35,1.0,-57.60877461676167,57.60877461676167,443.9102397291099,359.9102397291099,359.9102397291099
C,6760.0,0.019178082191780823,6.449999999999999,25.466083653904313,6678.35,1.0,19.016083653904314,19.016083653904314,0.0,-6.449999999999999,6.449999999999999
P,6760.0,0.019178082191780823,86.25,25.466083653904313,6678.35,1.0,-60.78391634609569,60.78391634609569,459.55900095289417,373.30900095289417,373.30900095289417
C,6615.0,0.021917808219178082,87.0,69.81115952794843,6679.15,1.0,-17.188840472051567,17.188840472051567,401.08289967171595,314.08289967171595,314.08289967171595
P,6615.0,0.021917808219178082,23.25,5.661159527948797,6679.15,1.0,-17.588840472051203,17.588840472051203,0.0,-23.25,23.25
C,6620.0,0.021917808219178082,84.0,68.01177475890097,6679.15,1.0,-15.98822524109903,15.98822524109903,383.93273073585533,299.93273073585533,299.93273073585533
P,6620.0,0.021917808219178082,24.25,8.861774758901333,6679.15,1.0,-15.388225241098667,15.388225241098667,0.0,-24.25,24.25
C,6625.0,0.021917808219178082,78.0,66.2123899898535,6679.15,1.0,-11.787610010146494,11.787610010146494,366.1462445536263,288.1462445536263,288.1462445536263
P,6625.0,0.021917808219178082,25.45,12.06238998985387,6679.15,1.0,-13.38761001014613,13.38761001014613,0.0,-25.45,25.45
C,6630.0,0.021917808219178082,75.0,64.41300522080604,6679.15,1.0,-10.586994779193958,10.586994779193958,347.63312794313333,272.63312794313333,272.63312794313333
P,6630.0,0.021917808219178082,26.6,15.263005220806406,6679.15,1.0,-11.336994779193596,11.336994779193596,298.48313327678534,271.8831332767853,271.8831332767853
C,6635.0,0.021917808219178082,72.0,62.613620451758585,6679.15,1.0,-9.386379548241415,9.386379548241415,328.2794102974044,256.2794102974044,256.2794102974044
P,6635.0,0.021917808219178082,27.85,18.46362045175895,6679.15,1.0,-9.386379548241052,9.386379548241052,284.12941362308675,256.2794136230867,256.2794136230867
C,6640.0,0.021917808219178082,69.0,60.81423568271113,6679.15,1.0,-8.185764317288871,8.185764317288871,307.9377386878309,238.93773868783092,238.93773868783092
P,6640.0,0.021917808219178082,29.2,21.664235682711492,6679.15,1.0,-7.535764317288507,7.535764317288507,268.7877400456714,239.5877400456714,239.5877400456714
C,6645.0,0.021917808219178082,63.0,59.014850913663665,6679.15,1.0,-3.9851490863363352,3.9851490863363352,286.4118423046307,223.41184230463068,223.41184230463068
P,6645.0,0.021917808219178082,30.45,24.86485091366403,6679.15,1.0,-5.585149086335971,5.585149086335971,252.26184648421076,221.81184648421078,221.81184648421078
C,6650.0,0.021917808219178082,60.0,57.21546614461621,6679.15,1.0,-2.784533855383792,2.784533855383792,263.43027218993484,203.43027218993484,203.43027218993484
P,6650.0,0.021917808219178082,31.950000000000003,28.065466144616572,6679.15,1.0,-3.884533855383431,3.884533855383431,234.28026716636805,202.33026716636806,202.33026716636806
C,6655.0,0.021917808219178082,57.55,55.416081375568744,6679.15,1.0,-2.133918624431253,2.133918624431253,238.59850649424925,181.04850649424924,181.04850649424924
P,6655.0,0.021917808219178082,33.45,31.266081375569108,6679.15,1.0,-2.183918624430895,2.183918624430895,214.4485018196997,180.9985018196997,180.9985018196997
C,6660.0,0.021917808219178082,54.15,53.61669660652129,6679.15,1.0,-0.533303393478711,0.533303393478711,211.3030197389653,157.1530197389653,157.1530197389653
P,6660.0,0.021917808219178082,35.099999999999994,34.46669660652165,6679.15,1.0,-0.633303393478343,0.633303393478343,192.1530202930212,157.0530202930212,157.0530202930212
C,6665.0,0.021917808219178082,43.6,51.81731183747383,6679.15,1.0,8.21731183747383,8.21731183747383,180.4902034426309,136.8902034426309,136.8902034426309
P,6665.0,0.021917808219178082,36.9,37.667311837474195,6679.15,1.0,0.7673118374741961,0.7673118374741961,166.34020342881468,129.44020342881467,129.44020342881467
C,6670.0,0.021917808219178082,40.5,50.01792706842637,6679.15,1.0,9.517927068426367,9.517927068426367,144.03401957083724,103.53401957083724,103.53401957083724
P,6670.0,0.021917808219178082,38.7,40.86792706842673,6679.15,1.0,2.167927068426728,2.167927068426728,134.88402504761189,96.18402504761188,96.18402504761188
C,6675.0,0.021917808219178082,44.65,48.21854229937891,6679.15,1.0,3.5685422993789118,3.5685422993789118,96.00130260367769,51.35130260367769,51.35130260367769
P,6675.0,0.021917808219178082,40.65,44.068542299379274,6679.15,1.0,3.4185422993792756,3.4185422993792756,91.8513039898744,51.2013039898744,51.2013039898744
C,6680.0,0.021917808219178082,41.65,46.52676790965456,6679.15,1.0,4.876767909654561,4.876767909654561,42.08764515327948,0.43764515327948317,0.43764515327948317
P,6680.0,0.021917808219178082,42.5,46.52676790965456,6679.15,1.0,4.026767909654559,4.026767909654559,42.937645279962,0.4376452799619983,0.4376452799619983
C,6685.0,0.021917808219178082,38.75,45.36038537191924,6679.15,1.0,6.610385371919243,6.610385371919243,108.63847169693508,69.88847169693508,69.88847169693508
C,6690.0,0.021917808219178082,36.0,44.19400283418393,6679.15,1.0,8.194002834183927,8.194002834183927,146.5577438797127,110.55774387971269,110.55774387971269
P,6690.0,0.021917808219178082,46.8,44.19400283418393,6679.15,1.0,-2.6059971658160705,2.6059971658160705,157.40773989054242,110.60773989054242,110.60773989054242
C,6695.0,0.021917808219178082,33.3,43.02762029644862,6679.15,1.0,9.72762029644862,9.72762029644862,175.82581240743366,142.52581240743365,142.52581240743365
C,6700.0,0.021917808219178082,30.75,41.861237758713294,6679.15,1.0,11.111237758713294,11.111237758713294,200.3906210126579,169.6406210126579,169.6406210126579
P,6700.0,0.021917808219178082,51.55,41.861237758713294,6679.15,1.0,-9.688762241286703,9.688762241286703,221.24062594223687,169.69062594223686,169.69062594223686
C,6705.0,0.021917808219178082,28.3,40.69485522097797,6679.15,1.0,12.39485522097797,12.39485522097797,221.88418716799242,193.5841871679924,193.5841871679924
C,6710.0,0.021917808219178082,25.95,39.52847268324266,6679.15,1.0,13.578472683242662,13.578472683242662,241.1695011002007,215.21950110020072,215.21950110020072
C,6715.0,0.021917808219178082,23.75,38.36209014550734,6679.15,1.0,14.612090145507338,14.612090145507338,258.7686600750362,235.01866007503622,235.01866007503622
P,6715.0,0.021917808219178082,60.0,38.36209014550734,6679.15,1.0,-21.637909854492662,21.637909854492662,294.61866421610466,234.61866421610466,234.61866421610466
C,6720.0,0.021917808219178082,21.700000000000003,37.19570760777202,6679.15,1.0,15.495707607772019,15.495707607772019,275.0259812206027,253.32598122060273,253.32598122060273
P,6720.0,0.021917808219178082,63.0,37.19570760777202,6679.15,1.0,-25.80429239222798,25.80429239222798,315.8759846538146,252.8759846538146,252.8759846538146
C,6725.0,0.021917808219178082,19.7,36.029325070036705,6679.15,1.0,16.329325070036706,16.329325070036706,0.0,-19.7,19.7
P,6725.0,0.021917808219178082,66.0,36.029325070036705,6679.15,1.0,-29.970674929963295,29.970674929963295,336.03271038412504,270.03271038412504,270.03271038412504
